CIRCUITO,NODO1_ID,NODO2_ID,geometry
NSA23L12,84276475,19060033,"LINESTRING Z (-74.78264201899998 5.63739762900002 10, -74.78261601000003 5.638817384999982 10)"
NSA23L12,19061443,19061444,"LINESTRING Z (-74.771014998 5.649143351000021 10, -74.77039872699999 5.650340820999986 10)"
FLR23L15,19057484,19057485,"LINESTRING Z (-74.98309709799997 5.582302403000028 10, -74.98669272699999 5.584991054999989 10)"
NSA23L12,19061201,19061202,"LINESTRING Z (-74.863975316 5.586470576000011 10, -74.86189691300001 5.586100371999976 10)"
NSA23L12,19061061,19061063,"LINESTRING Z (-74.782178408 5.64297747400002 10, -74.78111035699999 5.645301731000018 10)"
NSA23L12,19061137,19061136,"LINESTRING Z (-74.87314562099999 5.599775729999976 10, -74.87357503700002 5.597108051000021 10)"
NSA23L12,70752070,19061027,"LINESTRING Z (-74.79273785800001 5.612465793000013 10, -74.792233253 5.61327160899998 10)"
NSA23L12,19102424,19061120,"LINESTRING Z (-74.83982663799998 5.580144909000012 10, -74.84064935100002 5.578906496999991 10)"
FLR23L15,19057375,19057376,"LINESTRING Z (-75.00097069100002 5.50428111399998 10, -75.00125844799999 5.503485056999978 10)"
NSA23L13,19057799,19057761,"LINESTRING Z (-74.88824169999998 5.57472869999998 10, -74.888449105 5.574494528999992 10)"
NSA23L14,19058143,19058144,"LINESTRING Z (-74.94673124899998 5.671456997000007 10, -74.949352917 5.670911817999979 10)"
FLR23L15,19057514,19057515,"LINESTRING Z (-74.98569590599999 5.611855019000018 10, -74.98509049799998 5.610888613999975 10)"
NSA23L12,19061206,19061207,"LINESTRING Z (-74.852773211 5.59707266700002 10, -74.85131121699999 5.599447208000015 10)"
NSA23L14,19102589,19057930,"LINESTRING Z (-74.94838544499999 5.6172649210000145 10, -74.95201972299998 5.615252165000015 10)"
NSA23L14,19058006,19058007,"LINESTRING Z (-74.92779061599998 5.635993429999985 10, -74.92770946899998 5.6359840929999905 10)"
NSA23L12,19061176,19061175,"LINESTRING Z (-74.84418148399999 5.577146176999975 10, -74.84539284599998 5.574967674999982 10)"
NSA23L14,19039188,19039189,"LINESTRING Z (-74.92743574600001 5.584006758999976 10, -74.92877145800003 5.581059417000006 10)"
NSA23L14,19057884,19057885,"LINESTRING Z (-74.93280431099998 5.589393244000007 10, -74.93600154400002 5.591178825999975 10)"
NSA23L14,19057828,19057829,"LINESTRING Z (-74.88888208200001 5.584427952999988 10, -74.89089822800003 5.58675871600002 10)"
NSA23L12,19061626,19063129,"LINESTRING Z (-74.80359074500001 5.6669424390000245 10, -74.80272338600003 5.6631711100000075 12)"
NSA23L12,19061249,19061250,"LINESTRING Z (-74.86638787300001 5.624262622000003 10, -74.86683660400001 5.625572764000026 10)"
FLR23L15,19057442,19057443,"LINESTRING Z (-74.959386112 5.543612326000016 10, -74.959396701 5.5444347069999935 10)"
NSA23L14,19057884,19057881,"LINESTRING Z (-74.93280430499999 5.589393240999982 10, -74.926931045 5.585981768000011 10)"
NSA23L14,19058081,19058084,"LINESTRING Z (-74.91844679600001 5.649077922000004 10, -74.91917676899999 5.644640117999984 10)"
NSA23L12,19063113,19063114,"LINESTRING Z (-74.88426747699998 5.721029090999991 10, -74.885165153 5.717941227999972 10)"
FLR23L15,19100287,19057580,"LINESTRING Z (-74.959396701 5.5444347069999935 10, -74.95946775300001 5.544490085999996 10)"
NSA23L12,19060997,19060999,"LINESTRING Z (-74.81042788799999 5.5980124339999975 10, -74.81168426599999 5.5984690949999845 10)"
NSA23L13,19057781,19057782,"LINESTRING Z (-74.889076171 5.574672170999975 10, -74.88963553299999 5.574137499000017 10)"
NSA23L14,19058180,19058181,"LINESTRING Z (-74.92665972999998 5.7157987940000226 10, -74.92648797700002 5.717578338999999 10)"
NSA23L14,19102561,19058101,"LINESTRING Z (-74.91989965200003 5.611350598999991 10, -74.92153216000003 5.614799538999989 10)"
NSA23L14,91429331,91429330,"LINESTRING Z (-74.93392958099997 5.666499063999993 10, -74.93367083099997 5.666598783999973 10)"
NSA23L12,19061446,19061447,"LINESTRING Z (-74.76921543399999 5.65259680600002 10, -74.768765529 5.655051780999997 10)"
FLR23L15,19057505,19057506,"LINESTRING Z (-75.0005736 5.608875379999972 10, -75.00121334099998 5.607798644000013 10)"
NSA23L14,19057978,19057979,"LINESTRING Z (-74.95860671700001 5.656052471999999 10, -74.95975153 5.655286734000015 10)"
NSA23L14,19058250,19081246,"LINESTRING Z (-74.92160794099999 5.577950778000002 10, -74.92232791999999 5.578378138000005 10)"
NSA23L12,19061487,84645184,"LINESTRING Z (-74.85604326700002 5.548076820000006 10, -74.85580241600002 5.547371096000006 10)"
NSA23L14,19058228,19058229,"LINESTRING Z (-74.898068959 5.669519573999992 10, -74.896590323 5.669324228999983 10)"
NSA23L14,19039197,19039198,"LINESTRING Z (-74.938516919 5.573359707000009 10, -74.94156448000001 5.575121191999983 10)"
NSA23L12,19061262,19061263,"LINESTRING Z (-74.86448234 5.640108404999978 10, -74.86487621499998 5.64137316099999 10)"
FLR23L15,19057584,0,"LINESTRING Z (-74.96889732099999 5.572758373999989 10, -74.96526664800001 5.567562747000011 10)"
FLR23L15,19057388,19057390,"LINESTRING Z (-74.99129172200003 5.524178167999992 10, -74.98985642000002 5.517606890000025 10)"
NSA23L12,19102407,19061235,"LINESTRING Z (-74.823625403 5.651295773000015 10, -74.822172905 5.652537073000019 10)"
NSA23L12,19102409,19061122,"LINESTRING Z (-74.875418051 5.577981683000019 10, -74.87607816000002 5.580175446999988 10)"
NSA23L14,19058209,19058210,"LINESTRING Z (-74.97685435 5.668140643000015 10, -74.97830296199999 5.666939495000008 10)"
NSA23L14,19057843,19058107,"LINESTRING Z (-74.90004924499999 5.606438774000026 10, -74.89999602699999 5.606439480000006 9)"
FLR23L15,19057480,19057481,"LINESTRING Z (-74.96485044600001 5.595323069000017 10, -74.96540187599999 5.595485010000004 10)"
NSA23L13,19057797,19057798,"LINESTRING Z (-74.89615269799998 5.575114176 10, -74.89669154900002 5.574759240999981 10)"
NSA23L14,19057873,19057874,"LINESTRING Z (-74.92608152899999 5.5712747399999785 10, -74.930277257 5.570535536000023 10)"
NSA23L14,19057874,19057875,"LINESTRING Z (-74.930277257 5.570535536000023 10, -74.93031336600001 5.570526631999996 10)"
FLR23L15,19057463,19057472,"LINESTRING Z (-74.970914467 5.576687579999998 10, -74.96496013000001 5.584128733999989 10)"
NSA23L12,19061153,19061152,"LINESTRING Z (-74.85296831599999 5.553507678000017 10, -74.851569531 5.551114156999972 10)"
NSA23L12,19061099,19061100,"LINESTRING Z (-74.85434983900001 5.579400433999979 10, -74.85672443200002 5.579184428000019 10)"
NSA23L14,19058119,19058194,"LINESTRING Z (-74.951569 5.609711043000004 10, -74.95186860199999 5.609423864000007 10)"
NSA23L12,19102343,19061266,"LINESTRING Z (-74.86634952700001 5.646266434999973 10, -74.86734439600002 5.646038901999987 10)"
NSA23L12,19061253,19061304,"LINESTRING Z (-74.86823148799999 5.631176874999994 10, -74.86751552599998 5.633502775000011 10)"
NSA23L14,19058157,19058158,"LINESTRING Z (-74.95969019799998 5.662456232000011 10, -74.96074748900003 5.66170011600002 10)"
NSA23L12,19061104,19061606,"LINESTRING Z (-74.86068354899999 5.577558436999993 10, -74.860949302 5.576920584999982 10)"
NSA23L14,19058079,19058080,"LINESTRING Z (-74.91788421500002 5.658708696000019 10, -74.91673922799998 5.660724069000025 10)"
NSA23L12,19063123,19063124,"LINESTRING Z (-74.795642482 5.672415662999981 12, -74.79333224300001 5.67384410599999 12)"
FLR23L15,19057324,19057325,"LINESTRING Z (-75.01083285099998 5.521371976000012 10, -75.010009862 5.520206944999984 10)"
NSA23L12,19102423,19061215,"LINESTRING Z (-74.84766424700001 5.608594063999988 10, -74.84742796 5.606456133999984 10)"
NSA23L14,19058226,19058227,"LINESTRING Z (-74.94326665800003 5.722073564000027 10, -74.95058526600002 5.716651720000016 10)"
FLR23L15,19057435,19057436,"LINESTRING Z (-74.96829677400001 5.5340055899999925 10, -74.96733162100003 5.534042811999996 10)"
NSA23L13,19058115,19058116,"LINESTRING Z (-74.89903999 5.576014977999989 10, -74.89957966100002 5.5764145809999945 10)"
NSA23L12,19061444,19061445,"LINESTRING Z (-74.77039872699999 5.650340820999986 10, -74.769921684 5.6512280210000085 10)"
NSA23L12,84622877,19061489,"LINESTRING Z (-74.85580241600002 5.547371096000006 10, -74.855193815 5.546130855999991 10)"
NSA23L12,19102395,19061180,"LINESTRING Z (-74.87189337299998 5.596512550999989 11, -74.87121942599998 5.5970476640000015 10)"
NSA23L14,19057870,19057871,"LINESTRING Z (-74.921765317 5.575611804000005 10, -74.92191830500002 5.575457841999992 10)"
NSA23L12,19061131,19061132,"LINESTRING Z (-74.869280473 5.584274015000005 10, -74.86925319599999 5.584573010999975 10)"
NSA23L14,84568600,19058160,"LINESTRING Z (-74.96074748900003 5.66170011600002 10, -74.96141298700002 5.662260117000017 10)"
NSA23L12,19063068,19063069,"LINESTRING Z (-74.83335902800002 5.710267835000025 10, -74.834959739 5.71432491500002 10)"
NSA23L14,19058290,19058291,"LINESTRING Z (-74.98810717999999 5.687379372000009 12, -74.99152309800002 5.685512087999996 12)"
NSA23L12,19063084,19063085,"LINESTRING Z (-74.847059979 5.723728041000015 10, -74.84710524500002 5.725543554000012 10)"
NSA23L14,19058058,19058161,"LINESTRING Z (-74.93975981800003 5.680036764000022 10, -74.93878035 5.68144374100001 10)"
NSA23L12,19063088,19063089,"LINESTRING Z (-74.85611372699998 5.7180949350000105 10, -74.85870770999998 5.720087510999974 10)"
FLR23L15,19057526,19057527,"LINESTRING Z (-75.00556213200002 5.630413771000008 10, -75.005094359 5.631318512000007 10)"
NSA23L14,70774037,19057915,"LINESTRING Z (-74.95135961400001 5.5958127810000065 10, -74.95074101400002 5.592532027999994 10)"
NSA23L12,19061095,19061119,"LINESTRING Z (-74.83978130499997 5.580207987999984 10, -74.83982663799998 5.580144909000012 10)"
FLR23L15,19057353,19057354,"LINESTRING Z (-75.01245344300003 5.513340981999988 10, -75.01325500000002 5.512101175999987 10)"
NSA23L12,19063129,19063130,"LINESTRING Z (-74.80272338600003 5.6631711100000075 12, -74.80033744399998 5.661838882999973 12)"
NSA23L12,19061263,19061264,"LINESTRING Z (-74.86487621499998 5.64137316099999 10, -74.86627361199999 5.646305000999973 10)"
FLR23L15,19057497,0,"LINESTRING Z (-74.99384054699999 5.602638501000001 10, -74.98967953200003 5.602147403000004 10)"
FLR23L15,19057325,19057326,"LINESTRING Z (-75.010009862 5.520206944999984 10, -75.00973770399997 5.519366456 10)"
NSA23L14,19058195,19057935,"LINESTRING Z (-74.94478908299999 5.620994742999983 10, -74.94430409400002 5.621656255999994 10)"
FLR23L15,91787273,19057328,"LINESTRING Z (-75.005752685 5.522098104999998 10, -75.00423830300002 5.522124322000025 10)"
NSA23L14,19102547,19058233,"LINESTRING Z (-74.93529975299998 5.688583247999986 10, -74.93260303800002 5.6881828269999914 10)"
NSA23L14,19058007,19058010,"LINESTRING Z (-74.92770946899998 5.6359840929999905 10, -74.926563596 5.636311491000015 10)"
NSA23L14,19058128,19058129,"LINESTRING Z (-74.90730212400001 5.671770071000026 10, -74.90800664599999 5.673935130000018 10)"
NSA23L12,19061238,19061239,"LINESTRING Z (-74.81352427899998 5.656119473999979 10, -74.811758301 5.656785732999992 10)"
NSA23L12,19061233,19061234,"LINESTRING Z (-74.825311892 5.656938028000013 10, -74.82550484699999 5.662072077999994 10)"
NSA23L14,58007806,58007829,"LINESTRING Z (-74.91687999999999 5.66102833299999 10, -74.92011500000001 5.6673922219999895 10)"
FLR23L15,19100290,19057573,"LINESTRING Z (-74.980087706 5.572033019999992 10, -74.98759706300001 5.576703840999983 10)"
NSA23L14,19058207,19058208,"LINESTRING Z (-74.97369028600002 5.670984750999992 10, -74.97455542900002 5.6752008529999785 10)"
NSA23L14,84393432,19057975,"LINESTRING Z (-74.94995833000002 5.652883889999998 10, -74.95031476999998 5.652145329999996 10)"
NSA23L14,70797372,70797374,"LINESTRING Z (-74.98959088999999 5.629588538000007 10, -74.988130727 5.633842699000013 10)"
NSA23L14,19057948,19057962,"LINESTRING Z (-74.942702118 5.631034910999972 10, -74.94273424800002 5.634579189000021 10)"
NSA23L12,19061425,19061426,"LINESTRING Z (-74.80885741999998 5.692723305000015 10, -74.81124527399999 5.695669356999986 10)"
NSA23L14,19058005,19058006,"LINESTRING Z (-74.93013157000001 5.638385927999991 10, -74.92779061599998 5.635993429999985 10)"
NSA23L12,19061071,19061073,"LINESTRING Z (-74.830417205 5.5685826710000015 10, -74.82839093299998 5.571840512999984 10)"
NSA23L12,19061423,19061424,"LINESTRING Z (-74.808504244 5.688484124000013 10, -74.80855282700003 5.6898939000000155 10)"
NSA23L14,19057951,19057952,"LINESTRING Z (-74.94132019800003 5.63054818400002 10, -74.937563593 5.629234005000001 10)"
NSA23L14,19058031,19058032,"LINESTRING Z (-74.93413607000002 5.667142404999993 10, -74.93255800999998 5.6677203090000035 10)"
NSA23L12,19061277,19061278,"LINESTRING Z (-74.85433104499998 5.659777317000021 10, -74.85304472500002 5.660731100000021 10)"
