CIRCUITO,geometry
FLR23L15,POINT Z (-75.04401450599994 5.5227664110000205 5)
FLR23L15,POINT Z (-74.95495054299994 5.5231851780000625 5)
FLR23L15,POINT Z (-75.02079792199999 5.523454441000069 5)
FLR23L15,POINT Z (-74.99943918999998 5.5234603480000715 5)
FLR23L15,POINT Z (-75.04380813999995 5.523507658000028 5)
FLR23L15,POINT Z (-74.99129172199997 5.524178168000049 5)
FLR23L15,POINT Z (-74.99820519699995 5.524809756000025 7.5)
FLR23L15,POINT Z (-74.98023916599993 5.524937100000045 5)
FLR23L15,POINT Z (-74.98672716299995 5.524980820000053 5)
FLR23L15,POINT Z (-74.98454366499993 5.525246927000069 7.5)
FLR23L15,POINT Z (-74.98448137199995 5.525264780000043 5)
FLR23L15,POINT Z (-74.98241571599993 5.525873793000073 5)
FLR23L15,POINT Z (-74.96266256599995 5.5261840380000535 5)
FLR23L15,POINT Z (-74.99550945999994 5.5263510270000324 5)
FLR23L15,POINT Z (-74.98867940099996 5.526876421000054 5)
FLR23L15,POINT Z (-74.96265542099997 5.526925026000072 5)
FLR23L15,POINT Z (-75.01444187499999 5.526936010000043 8)
FLR23L15,POINT Z (-75.01438763299996 5.526972873000034 5)
FLR23L15,POINT Z (-75.01445145099996 5.527035451000074 5)
FLR23L15,POINT Z (-75.03211042999999 5.527152743000045 5)
FLR23L15,POINT Z (-74.99213651999997 5.527341355000033 5)
FLR23L15,POINT Z (-74.95153527199994 5.527450001000034 5)
FLR23L15,POINT Z (-74.95552559899994 5.5275754670000765 7.5)
FLR23L15,POINT Z (-74.99365262299995 5.527592497000057 5)
FLR23L15,POINT Z (-74.99371565899997 5.527619830000049 5)
FLR23L15,POINT Z (-74.99366151499999 5.527628676000063 8)
FLR23L15,POINT Z (-74.95419326899997 5.527650213000072 5)
FLR23L15,POINT Z (-74.95257312599995 5.5277573600000665 5)
FLR23L15,POINT Z (-75.01455175799998 5.527758765000044 5)
FLR23L15,POINT Z (-74.98156163799996 5.527918524000029 5)
FLR23L15,POINT Z (-75.02944189699997 5.528395162000038 5)
FLR23L15,POINT Z (-75.00530370299998 5.528777473000048 5)
FLR23L15,POINT Z (-75.01471565299994 5.5288708930000325 5)
FLR23L15,POINT Z (-74.94837395599995 5.529035423000039 5)
FLR23L15,POINT Z (-74.97198926899995 5.5291262180000444 5)
FLR23L15,POINT Z (-74.99089380799995 5.529369380000048 5)
FLR23L15,POINT Z (-74.97838712299995 5.529415528000072 5)
FLR23L15,POINT Z (-74.97929890699999 5.529422375000024 5)
FLR23L15,POINT Z (-74.99089451999998 5.529423604000044 7.5)
FLR23L15,POINT Z (-74.97980370999994 5.529494652000039 7.5)
FLR23L15,POINT Z (-75.01304762199999 5.529506708000042 5)
FLR23L15,POINT Z (-74.95513952199997 5.5296172840000395 5)
FLR23L15,POINT Z (-74.96259655399996 5.530035267000073 5)
FLR23L15,POINT Z (-75.01488998599996 5.530353578000074 5)
FLR23L15,POINT Z (-74.96258785699996 5.53045183100005 5)
FLR23L15,POINT Z (-75.01196697999995 5.531108820000043 5)
FLR23L15,POINT Z (-74.99397429399994 5.531280699000035 5)
FLR23L15,POINT Z (-75.01417858499997 5.531592788000069 5)
FLR23L15,POINT Z (-74.96258956899999 5.531744093000043 5)
FLR23L15,POINT Z (-74.95473598499996 5.531748500000049 5)
FLR23L15,POINT Z (-74.96263546799997 5.531771367000033 5)
FLR23L15,POINT Z (-74.95472123499997 5.531837911000025 5)
FLR23L15,POINT Z (-74.97656879699997 5.532510519000027 5)
FLR23L15,POINT Z (-74.97638841799994 5.532510782000031 7.5)
FLR23L15,POINT Z (-74.95660826099999 5.5325124920000235 5)
FLR23L15,POINT Z (-74.96166184999998 5.53266794700005 7.5)
FLR23L15,POINT Z (-74.98945508699995 5.532762185000024 5)
FLR23L15,POINT Z (-74.96118384799996 5.532921977000058 9)
FLR23L15,POINT Z (-75.00229722399996 5.533293565000065 5)
FLR23L15,POINT Z (-74.99337235499996 5.533442924000042 5)
FLR23L15,POINT Z (-74.97524409499994 5.533479983000063 7.5)
FLR23L15,POINT Z (-74.97523481999997 5.53355224400002 5)
FLR23L15,POINT Z (-74.97386387799997 5.533825704000037 5)
FLR23L15,POINT Z (-74.97040778399997 5.533839608000051 5)
FLR23L15,POINT Z (-74.96088105199993 5.533867944000065 6)
FLR23L15,POINT Z (-74.97038056699995 5.53388469500004 7.5)
FLR23L15,POINT Z (-74.95940815599994 5.5339015290000475 6)
FLR23L15,POINT Z (-74.96829677399995 5.534005590000049 5)
FLR23L15,POINT Z (-74.96733162099997 5.534042812000052 7.5)
FLR23L15,POINT Z (-74.96721838599996 5.5341833820000375 5)
FLR23L15,POINT Z (-74.97903559999997 5.534260675000041 5)
FLR23L15,POINT Z (-74.97941443699995 5.5345042070000545 5)
FLR23L15,POINT Z (-74.96054741599994 5.534609570000043 6)
FLR23L15,POINT Z (-74.98837597199997 5.535195627000064 5)
FLR23L15,POINT Z (-75.00789452699996 5.535346505000064 5)
NSA23L12,POINT Z (-74.84981174899997 5.536019064000072 5)
FLR23L15,POINT Z (-74.97414815799993 5.536573909000026 5)
FLR23L15,POINT Z (-75.00807733399995 5.536720771000034 5)
FLR23L15,POINT Z (-75.00803217599997 5.536738687000025 5)
FLR23L15,POINT Z (-75.00808626199995 5.5367470090000666 8)
FLR23L15,POINT Z (-74.95937528599995 5.537047099000063 5)
FLR23L15,POINT Z (-75.01574905199999 5.537757017000047 5)
FLR23L15,POINT Z (-74.98718917599996 5.537982026000066 5)
NSA23L12,POINT Z (-74.85132727199993 5.5383000610000295 5)
FLR23L15,POINT Z (-74.96639146899997 5.539222048000056 5)
NSA23L12,POINT Z (-74.85197098399993 5.539793442000075 5)
FLR23L15,POINT Z (-74.95938972499994 5.540076265000039 5)
FLR23L15,POINT Z (-74.98621796699996 5.540244138000048 5)
NSA23L12,POINT Z (-74.83901120999997 5.540894769000033 5)
FLR23L15,POINT Z (-75.01339903299998 5.541015706000053 5)
FLR23L15,POINT Z (-74.98890094599994 5.542093544000068 5)
NSA23L12,POINT Z (-74.85136659399996 5.542239947000041 5)
FLR23L15,POINT Z (-74.98756602099996 5.542376194000042 5)
NSA23L12,POINT Z (-74.85313324599997 5.542490579000059 7.5)
FLR23L15,POINT Z (-74.98643857199994 5.542648732000032 5)
NSA23L12,POINT Z (-74.85038378199994 5.542670877000035 5)
FLR23L15,POINT Z (-74.98526582299996 5.542723199000022 5)
FLR23L15,POINT Z (-74.98514841399998 5.542768871000021 7.5)
NSA23L12,POINT Z (-74.85350102599995 5.543016058000035 5)
FLR23L15,POINT Z (-74.95938611199995 5.543612326000073 5)
FLR23L15,POINT Z (-75.00252085999995 5.5436191020000365 5)
FLR23L15,POINT Z (-75.01246458199995 5.543621432000066 5)
NSA23L12,POINT Z (-74.83997023599994 5.543898363000039 5)
FLR23L15,POINT Z (-74.95939670099995 5.54443470700005 5)
FLR23L15,POINT Z (-74.95946775299996 5.544490086000053 5)
NSA23L12,POINT Z (-74.85408161799995 5.544509203000075 5)
FLR23L15,POINT Z (-75.01155571899994 5.544834637000065 5)
FLR23L15,POINT Z (-74.98415950399993 5.545184538000058 7.5)
FLR23L15,POINT Z (-74.98416829999996 5.545247827000026 5)
FLR23L15,POINT Z (-75.01121305399994 5.545332282000061 5)
FLR23L15,POINT Z (-74.96052084199994 5.545844856000031 5)
NSA23L12,POINT Z (-74.84074739899995 5.546105195000052 5)
NSA23L12,POINT Z (-74.85519381499995 5.5461308560000475 5)
FLR23L15,POINT Z (-74.98448724999997 5.547127725000053 5)
FLR23L15,POINT Z (-74.98516366099994 5.5471355460000495 5)
FLR23L15,POINT Z (-74.96121293499993 5.547266107000041 5)
NSA23L12,POINT Z (-74.85580241599996 5.547371096000063 5)
FLR23L15,POINT Z (-74.98661737799995 5.547440724000069 5)
FLR23L15,POINT Z (-75.00938550399997 5.547984572000075 5)
NSA23L12,POINT Z (-74.85604326699996 5.5480768200000625 5)
NSA23L12,POINT Z (-74.84130658599997 5.54824162500006 7.5)
NSA23L12,POINT Z (-74.84126394799995 5.548308330000054 5)
FLR23L15,POINT Z (-74.99048126599996 5.548447561000046 5)
NSA23L12,POINT Z (-74.84372122999997 5.548845345000075 5)
FLR23L15,POINT Z (-74.96357796499996 5.549222006000036 5)
NSA23L12,POINT Z (-74.84506608099997 5.549267902000054 5)
NSA23L12,POINT Z (-74.85413558699997 5.549352761000023 5)
NSA23L12,POINT Z (-74.84648414999998 5.549646457000051 5)
