CIRCUITO,geometry
NSA23L14,POINT Z (-74.91587766800001 5.6517819919999965 0)
NSA23L12,POINT Z (-74.84948003300002 5.691412839000009 0)
NSA23L12,POINT Z (-74.82550484699999 5.662072077999994 0)
FLR23L15,POINT Z (-74.97878274300001 5.558031197999981 0)
FLR23L15,POINT Z (-74.97414815799999 5.536573909000026 0)
FLR23L15,POINT Z (-74.971989269 5.529126217999988 0)
NSA23L14,POINT Z (-74.882196668 5.660647303000019 0)
FLR23L15,POINT Z (-74.98448724999997 5.547127724999996 0)
NSA23L12,POINT Z (-74.86119818100002 5.57669200700002 0)
NSA23L12,POINT Z (-74.84710704899999 5.725543560999995 0)
NSA23L14,POINT Z (-74.93155082999999 5.673376669999982 0)
NSA23L14,POINT Z (-74.93393315999998 5.666500589999998 0)
FLR23L15,POINT Z (-75.032058586 5.522558979999985 0)
NSA23L14,POINT Z (-74.899711126 5.663402736000023 0)
FLR23L15,POINT Z (-74.99943918999998 5.523460348000015 0)
NSA23L12,POINT Z (-74.85036216600002 5.569724835999978 0)
NSA23L14,POINT Z (-74.90253494299998 5.569892225999979 0)
NSA23L13,POINT Z (-74.89423957100001 5.573457931999997 0)
NSA23L14,POINT Z (-74.97369477699999 5.670990189000008 0)
NSA23L14,POINT Z (-74.94298806 5.670349739000017 0)
NSA23L14,POINT Z (-74.929205626 5.726880785999981 0)
NSA23L14,POINT Z (-74.891675013 5.587182707000011 0)
NSA23L14,POINT Z (-74.90015956500002 5.607577773000003 10)
NSA23L14,POINT Z (-74.97624778400001 5.620007509000004 0)
NSA23L12,POINT Z (-74.81239922100002 5.685723660999997 0)
NSA23L12,POINT Z (-74.81177158899999 5.696250627999973 0)
NSA23L12,POINT Z (-74.862512273 5.728177822000021 0)
NSA23L12,POINT Z (-74.84981174900003 5.5360190640000155 0)
NSA23L14,POINT Z (-74.917648149 5.621900482000001 0)
NSA23L12,POINT Z (-74.85157652200002 5.589653103999979 0)
NSA23L14,POINT Z (-74.89380903900002 5.613336397000012 0)
NSA23L12,POINT Z (-74.799975136 5.610976089000019 0)
NSA23L12,POINT Z (-74.83502288099999 5.636080961000005 0)
NSA23L14,POINT Z (-74.933100696 5.6631832649999865 0)
NSA23L14,POINT Z (-74.93498431900002 5.586921585000027 0)
NSA23L14,POINT Z (-74.89113389099998 5.580862491000005 0)
NSA23L14,POINT Z (-74.926563596 5.636311491000015 0)
FLR23L15,POINT Z (-75.00789452700002 5.535346505000007 0)
NSA23L12,POINT Z (-74.827104669 5.551532728999973 0)
NSA23L12,POINT Z (-74.87197994299999 5.596516491999978 0)
NSA23L14,POINT Z (-74.932784965 5.690692049000006 0)
FLR23L15,POINT Z (-75.01574905199999 5.53775701699999 0)
NSA23L14,POINT Z (-74.96907331199998 5.636924114999999 0)
NSA23L14,POINT Z (-74.926665109 5.715807849999976 0)
NSA23L14,POINT Z (-74.90872232599997 5.606246047000013 0)
NSA23L14,POINT Z (-74.88736460199999 5.675402356999996 0)
NSA23L14,POINT Z (-74.92608241800002 5.571278357999972 0)
NSA23L12,POINT Z (-74.80033744399998 5.661838882999973 0)
NSA23L14,POINT Z (-74.91002841900001 5.648027190999983 0)
NSA23L14,POINT Z (-74.90959498000001 5.598070415999985 0)
NSA23L12,POINT Z (-74.85159661900002 5.633951653999986 0)
FLR23L15,POINT Z (-75.016337421 5.5215447730000164 0)
NSA23L12,POINT Z (-74.86411699199999 5.638694661999978 0)
NSA23L12,POINT Z (-74.86435947000001 5.721019327000022 0)
NSA23L14,POINT Z (-74.94486004999999 5.619096406999972 0)
NSA23L12,POINT Z (-74.82968581400002 5.695688444999973 0)
NSA23L14,POINT Z (-74.96552329999997 5.6522217720000185 0)
NSA23L14,POINT Z (-74.901805249 5.694895018000011 0)
NSA23L14,POINT Z (-74.91594146099999 5.70586384500001 0)
FLR23L15,POINT Z (-75.010009862 5.520206944999984 0)
NSA23L14,POINT Z (-74.89674361599998 5.634232182999995 0)
NSA23L12,POINT Z (-74.88514854300001 5.614015059999986 0)
NSA23L14,POINT Z (-74.94935472100002 5.6709118239999725 0)
NSA23L14,POINT Z (-74.95009635100001 5.595950968000011 0)
NSA23L14,POINT Z (-74.94196825199998 5.604498005999972 0)
NSA23L12,POINT Z (-74.850383782 5.542670876999978 0)
NSA23T15,POINT Z (-74.886887323 5.574410089000025 0)
NSA23L14,POINT Z (-74.94349648399998 5.5982240390000015 0)
FLR23L15,POINT Z (-74.974667038 5.551997995000022 0)
FLR23L15,POINT Z (-74.96247108900002 5.591547054999978 0)
NSA23L14,POINT Z (-74.89340157100003 5.572763539999983 0)
NSA23L12,POINT Z (-74.79021299700003 5.672508021999988 0)
NSA23L13,POINT Z (-74.88865278499998 5.575796493999974 9.111499999999069)
NSA23L12,POINT Z (-74.81168426599999 5.5984690949999845 0)
NSA23L12,POINT Z (-74.81632524999998 5.632820627000001 0)
NSA23L12,POINT Z (-74.87881167400002 5.626186057999973 0)
FLR23L15,POINT Z (-75.014181291 5.53159279800002 0)
FLR23L15,POINT Z (-74.99650712800002 5.5059057159999725 0)
NSA23L13,POINT Z (-74.90028304100002 5.576933167999982 0)
NSA23L13,POINT Z (-74.888652573 5.575806456999999 0)
NSA23L12,POINT Z (-74.816995072 5.591793166000002 0)
NSA23L14,POINT Z (-74.92878051000002 5.5810504140000035 0)
NSA23L12,POINT Z (-74.83565936399998 5.578875706000019 0)
FLR23L15,POINT Z (-75.00590718299998 5.4819742020000035 0)
NSA23L14,POINT Z (-74.99254062099999 5.68178444199998 0)
NSA23L14,POINT Z (-74.95278883499998 5.6093693799999755 0)
NSA23L14,POINT Z (-74.934215521 5.666391761999989 0)
NSA23L14,POINT Z (-74.95095139900002 5.596206199999983 0)
NSA23L14,POINT Z (-74.905277549 5.566976380000028 0)
NSA23L14,POINT Z (-74.92283971299997 5.713000299999976 0)
NSA23L14,POINT Z (-74.94163950699999 5.644825388000015 0)
NSA23L14,POINT Z (-74.95461529300002 5.692893916000003 0)
NSA23L14,POINT Z (-74.91673743400003 5.660721351999996 0)
NSA23L14,POINT Z (-74.89650702 5.572710916999995 0)
FLR23L15,POINT Z (-74.98002217599998 5.571945129000028 0)
NSA23L12,POINT Z (-74.873196715 5.609934430999999 0)
FLR23L15,POINT Z (-74.99066052799998 5.563335601000006 0)
FLR23L15,POINT Z (-74.95946773700001 5.544494604000022 0)
NSA23L14,POINT Z (-74.90413738400002 5.704305379999994 0)
NSA23L13,POINT Z (-74.88789144600003 5.575056315999973 0)
NSA23L14,POINT Z (-74.95562222900003 5.6670283369999765 0)
NSA23L14,POINT Z (-74.941936038 5.588557290999972 0)
NSA23L12,POINT Z (-74.78606173100002 5.665508798000019 0)
NSA23L14,POINT Z (-74.96074747300003 5.661704634999978 0)
NSA23L14,POINT Z (-74.943273858 5.722078108999995 0)
NSA23L14,POINT Z (-74.94930275000002 5.595913741999993 0)
NSA23L14,POINT Z (-74.920184984 5.5781190490000085 0)
NSA23L12,POINT Z (-74.84701476800001 5.703988668000022 0)
NSA23L14,POINT Z (-74.94272709 5.696316351999997 0)
FLR23L15,POINT Z (-74.99390326600002 5.602502270000002 0)
NSA23L14,POINT Z (-74.93917458200002 5.650127110000028 0)
NSA23L12,POINT Z (-74.84388239499998 5.6669740140000044 0)
NSA23L14,POINT Z (-74.98497809999998 5.640209901999981 0)
NSA23L12,POINT Z (-74.85817817499998 5.567713142000002 0)
FLR23L15,POINT Z (-74.96890183099998 5.572758390999979 0)
FLR23L15,POINT Z (-74.948365846 5.5290335860000255 0)
NSA23L14,POINT Z (-74.94944972500002 5.676234756999975 0)
NSA23L14,POINT Z (-74.96977099100002 5.70895103700002 0)
FLR23L15,POINT Z (-75.00530370299998 5.528777472999991 0)
NSA23L12,POINT Z (-74.844692823 5.645747004999976 0)
FLR23L15,POINT Z (-74.96495832900001 5.584127823000017 0)
NSA23L12,POINT Z (-74.871631396 5.60406040700002 0)
FLR23L15,POINT Z (-74.988900946 5.542093544000011 0)
NSA23L14,POINT Z (-74.899874609 5.604160958000023 0)
NSA23L14,POINT Z (-74.92031281999999 5.595397298000023 0)
NSA23L14,POINT Z (-74.92658814999999 5.6834867009999925 0)
NSA23L12,POINT Z (-74.87781400099999 5.633288830000026 0)
NSA23L13,POINT Z (-74.88789606300003 5.575027417000001 0)
NSA23L14,POINT Z (-74.90389264800001 5.666151074000027 0)
NSA23L14,POINT Z (-74.94156537499998 5.575123002999987 0)
NSA23L12,POINT Z (-74.853040824 5.623262076000003 0)
NSA23L14,POINT Z (-74.91917495400003 5.64464282199998 0)
NSA23L12,POINT Z (-74.88165701899999 5.620270375000018 0)
FLR23L15,POINT Z (-74.978387123 5.5294155280000155 0)
NSA23L12,POINT Z (-74.86105854099998 5.624399582000024 0)
NSA23L12,POINT Z (-74.86848929899998 5.630026645999976 0)
FLR23L15,POINT Z (-75.01799540299999 5.502925123000011 0)
NSA23L12,POINT Z (-74.86495850900002 5.606066499999997 0)
NSA23L12,POINT Z (-74.78792518300003 5.619181217999994 0)
NSA23L13,POINT Z (-74.88546935099998 5.5768834529999936 0)
NSA23L12,POINT Z (-74.876028255 5.7382087020000085 0)
NSA23L14,POINT Z (-74.91577210700001 5.606977033000021 0)
NSA23L14,POINT Z (-74.96997770299998 5.672840011999995 0)
NSA23L14,POINT Z (-74.97841850200001 5.6641782649999755 0)
NSA23L14,POINT Z (-74.96615002099998 5.682252243999983 0)
NSA23L12,POINT Z (-74.83335993399999 5.710266934999993 0)
NSA23L12,POINT Z (-74.86752653500002 5.576993277999975 0)
NSA23L12,POINT Z (-74.78097200500002 5.645620140999995 0)
NSA23L12,POINT Z (-74.84082854299999 5.70230468699998 0)
NSA23L14,POINT Z (-74.908172003 5.659877818999973 0)
NSA23L12,POINT Z (-74.83951906499999 5.630236647999993 0)
NSA23L14,POINT Z (-74.90937367499998 5.656940067999983 0)
NSA23L14,POINT Z (-74.942258052 5.689227207999977 0)
NSA23L12,POINT Z (-74.822446012 5.63815390000002 0)
NSA23L12,POINT Z (-74.85652700100002 5.633428352999999 0)
NSA23L13,POINT Z (-74.88717175 5.574321691000023 0)
NSA23L14,POINT Z (-74.983369358 5.650877725999976 0)
NSA23L12,POINT Z (-74.84036259200002 5.62642037400002 0)
FLR23L15,POINT Z (-74.99120101199998 5.567612880000013 0)
FLR23L15,POINT Z (-74.959408156 5.533901528999991 0)
FLR23L15,POINT Z (-74.96658568999999 5.518311634999975 0)
NSA23L14,POINT Z (-74.97761600500002 5.668809425000006 0)
NSA23L12,POINT Z (-74.85887612099998 5.731826049000006 0)
NSA23L14,POINT Z (-74.97455364400003 5.675195425000027 0)
NSA23L12,POINT Z (-74.87607816000002 5.580175446999988 0)
NSA23L14,POINT Z (-74.88996518800002 5.676132417000019 0)
NSA23L13,POINT Z (-74.89006808300002 5.5759364340000275 0)
FLR23L15,POINT Z (-74.99213651999997 5.527341354999976 0)
FLR23L15,POINT Z (-74.96639417400002 5.539222058000007 0)
FLR23L15,POINT Z (-75.00252086 5.54361910199998 0)
NSA23L12,POINT Z (-74.854192797 5.573215528999981 0)
NSA23L12,POINT Z (-74.86886276799999 5.603256568999996 0)
FLR23L15,POINT Z (-75.00016876699999 5.516307612999981 0)
NSA23L14,POINT Z (-74.93751582700003 5.721949973999983 0)
NSA23L12,POINT Z (-74.87182261499999 5.64490835700002 0)
NSA23L14,POINT Z (-74.922708881 5.726232821999986 0)
NSA23L14,POINT Z (-74.92011500000001 5.6673922219999895 0)
NSA23L14,POINT Z (-74.94264806299998 5.631016638999995 0)
NSA23L14,POINT Z (-74.942284557 5.640619415000003 0)
NSA23L14,POINT Z (-74.93066700999998 5.6954888719999985 0)
FLR23L15,POINT Z (-74.98985642000002 5.517606890000025 0)
NSA23L14,POINT Z (-74.88615444099997 5.669573884999977 0)
NSA23L12,POINT Z (-74.86068354899999 5.577558436999993 0)
NSA23L14,POINT Z (-74.94568416700002 5.578461650999998 0)
