CIRCUITO,geometry
NSA23L12,POINT Z (-74.85579756099997 5.547323150000011 0)
NSA23L12,POINT Z (-74.867555928 5.578732016000004 10)
FLR23L15,POINT Z (-74.981041517 5.552337890999979 0)
NSA23L14,POINT Z (-74.94226382099998 5.640743217000022 0)
NSA23L14,POINT Z (-74.94223879700002 5.640681622999978 0)
NSA23L14,POINT Z (-74.94169991199999 5.593839168999978 0)
NSA23L13,POINT Z (-74.89307361700003 5.572383060999982 0)
NSA23L14,POINT Z (-74.89449206 5.5730201719999855 0)
NSA23L14,POINT Z (-74.942521554 5.624418542000001 0)
FLR23L15,POINT Z (-74.98014259899998 5.572068460000025 0)
NSA23L12,POINT Z (-74.823367518 5.651507114000026 0)
NSA23L14,POINT Z (-74.919926498 5.6114085319999845 0)
NSA23L13,POINT Z (-74.88911941100002 5.576143444000024 0)
NSA23L13,POINT Z (-74.88793668699998 5.575016801999993 10)
NSA23L12,POINT Z (-74.86190848500001 5.586141078000026 0)
NSA23L14,POINT Z (-74.94277845300002 5.696331905000022 0)
NSA23L12,POINT Z (-74.88700008699999 5.574160204000009 0)
NSA23L14,POINT Z (-74.96556110099999 5.65224540600002 0)
NSA23L14,POINT Z (-74.90186897900003 5.694957584000008 0)
NSA23L14,POINT Z (-74.94227437699999 5.640689862999977 0)
FLR23L15,POINT Z (-74.984175359 5.545292132999975 0)
NSA23L13,POINT Z (-74.885018833 5.582865120000008 10)
FLR23L15,POINT Z (-74.959396701 5.5444347069999935 0)
NSA23L12,POINT Z (-74.80304399900001 5.667437253999992 0)
NSA23L14,POINT Z (-74.91690459699998 5.60194158500002 0)
FLR23L15,POINT Z (-75.032709619 5.521550873000024 0)
NSA23L12,POINT Z (-74.86946254600002 5.593669631000012 0)
NSA23L12,POINT Z (-74.82300530999999 5.578600419999987 0)
NSA23L12,POINT Z (-74.84777684199997 5.5708264689999965 0)
NSA23L14,POINT Z (-74.94176571100002 5.64484754099999 0)
FLR23L15,POINT Z (-74.99087633599999 5.52946510999999 0)
NSA23L14,POINT Z (-74.93878010600002 5.681509706999975 0)
NSA23L12,POINT Z (-74.840600386 5.70235802000002 10)
FLR23L15,POINT Z (-75.01505129700001 5.522070774999975 0)
NSA23L12,POINT Z (-74.84616473099999 5.674625615000025 10)
NSA23L12,POINT Z (-74.84127993800001 5.548133995000001 0)
NSA23L14,POINT Z (-74.96632889900002 5.642008192999981 10)
